Symbol,LotSize,Updated
360ONE,500,2026-08-05
ABB,125,2026-08-05
ABCAPITAL,3100,2026-08-05
ADANIENSOL,675,2026-08-05
ADANIENT,309,2026-08-05
ADANIGREEN,600,2026-08-05
ADANIPORTS,475,2026-08-05
ADANIPOWER,3550,2026-08-05
ALKEM,125,2026-08-05
AMBER,100,2026-08-05
AMBUJACEM,1200,2026-08-05
ANGELONE,2500,2026-08-05
APLAPOLLO,350,2026-08-05
APOLLOHOSP,125,2026-08-05
ASHOKLEY,5000,2026-08-05
ASIANPAINT,250,2026-08-05
ASTRAL,425,2026-08-05
AUBANK,1000,2026-08-05
AUROPHARMA,550,2026-08-05
AXISBANK,625,2026-08-05
BAJAJ-AUTO,75,2026-08-05
BAJAJFINSV,300,2026-08-05
BAJAJHLDNG,75,2026-08-05
BAJFINANCE,750,2026-08-05
BANDHANBNK,3600,2026-08-05
BANKBARODA,2925,2026-08-05
BANKINDIA,5200,2026-08-05
BANKNIFTY,30,2026-08-05
BDL,425,2026-08-05
BEL,1425,2026-08-05
BHARATFORG,500,2026-08-05
BHARTIARTL,475,2026-08-05
BHEL,2625,2026-08-05
BIOCON,2500,2026-08-05
BLUESTARCO,325,2026-08-05
BOSCHLTD,25,2026-08-05
BPCL,1975,2026-08-05
BRITANNIA,125,2026-08-05
BSE,200,2026-08-05
CAMS,825,2026-08-05
CANBK,6750,2026-08-05
CDSL,475,2026-08-05
CGPOWER,850,2026-08-05
CHOLAFIN,625,2026-08-05
CIPLA,425,2026-08-05
COALINDIA,1350,2026-08-05
COCHINSHIP,400,2026-08-05
COFORGE,475,2026-08-05
COLPAL,275,2026-08-05
CONCOR,1250,2026-08-05
CROMPTON,2150,2026-08-05
CUMMINSIND,200,2026-08-05
DABUR,1250,2026-08-05
DALBHARAT,325,2026-08-05
DELHIVERY,2075,2026-08-05
DIVISLAB,100,2026-08-05
DIXON,50,2026-08-05
DLF,950,2026-08-05
DMART,150,2026-08-05
DRREDDY,625,2026-08-05
EICHERMOT,100,2026-08-05
ETERNAL,2425,2026-08-05
FEDERALBNK,2500,2026-08-05
FINNIFTY,60,2026-08-05
FORCEMOT,25,2026-08-05
FORTIS,775,2026-08-05
GAIL,3550,2026-08-05
GLENMARK,375,2026-08-05
GMRAIRPORT,6975,2026-08-05
GODFRYPHLP,275,2026-08-05
GODREJCP,500,2026-08-05
GODREJPROP,325,2026-08-05
GRASIM,250,2026-08-05
GVT&D,125,2026-08-05
HAL,150,2026-08-05
HAVELLS,500,2026-08-05
HCLTECH,400,2026-08-05
HDFCAMC,300,2026-08-05
HDFCBANK,650,2026-08-05
HDFCLIFE,1100,2026-08-05
HEROMOTOCO,150,2026-08-05
HINDALCO,700,2026-08-05
HINDPETRO,2025,2026-08-05
HINDUNILVR,300,2026-08-05
HINDZINC,1225,2026-08-05
HYUNDAI,275,2026-08-05
ICICIBANK,700,2026-08-05
ICICIGI,325,2026-08-05
ICICIPRULI,925,2026-08-05
IDEA,71475,2026-08-05
IDFCFIRSTB,9275,2026-08-05
IEX,4350,2026-08-05
INDHOTEL,1000,2026-08-05
INDIANB,1000,2026-08-05
INDIGO,150,2026-08-05
INDUSINDBK,700,2026-08-05
INDUSTOWER,1700,2026-08-05
INFY,400,2026-08-05
INOXWIND,6400,2026-08-05
IOC,4875,2026-08-05
IREDA,4525,2026-08-05
IRFC,5425,2026-08-05
ITC,1725,2026-08-05
JINDALSTEL,625,2026-08-05
JIOFIN,2350,2026-08-05
JSWENERGY,1075,2026-08-05
JSWSTEEL,675,2026-08-05
JUBLFOOD,1250,2026-08-05
KALYANKJIL,1350,2026-08-05
KAYNES,150,2026-08-05
KEI,175,2026-08-05
KFINTECH,575,2026-08-05
KOTAKBANK,2000,2026-08-05
KPITTECH,775,2026-08-05
LAURUSLABS,850,2026-08-05
LICHSGFIN,1000,2026-08-05
LICI,1400,2026-08-05
LODHA,625,2026-08-05
LT,175,2026-08-05
LTF,2250,2026-08-05
LTM,150,2026-08-05
LUPIN,425,2026-08-05
M&M,200,2026-08-05
MANAPPURAM,3000,2026-08-05
MANKIND,250,2026-08-05
MARICO,1200,2026-08-05
MARUTI,50,2026-08-05
MAXHEALTH,525,2026-08-05
MAZDOCK,225,2026-08-05
MCX,225,2026-08-05
MFSL,400,2026-08-05
MIDCPNIFTY,120,2026-08-05
MOTHERSON,6150,2026-08-05
MOTILALOFS,775,2026-08-05
MPHASIS,275,2026-08-05
MUTHOOTFIN,275,2026-08-05
NAM-INDIA,625,2026-08-05
NATIONALUM,1875,2026-08-05
NAUKRI,550,2026-08-05
NBCC,6500,2026-08-05
NESTLEIND,500,2026-08-05
NHPC,6950,2026-08-05
NIFTY,65,2026-08-05
NIFTYNXT50,25,2026-08-05
NMDC,6750,2026-08-05
NTPC,1500,2026-08-05
NYKAA,3125,2026-08-05
OBEROIRLTY,350,2026-08-05
OFSS,100,2026-08-05
OIL,1400,2026-08-05
ONGC,2250,2026-08-05
PAGEIND,20,2026-08-05
PATANJALI,1075,2026-08-05
PAYTM,725,2026-08-05
PERSISTENT,125,2026-08-05
PETRONET,1900,2026-08-05
PFC,1300,2026-08-05
PGEL,950,2026-08-05
PHOENIXLTD,350,2026-08-05
PIDILITIND,500,2026-08-05
PIIND,175,2026-08-05
PNB,8000,2026-08-05
PNBHOUSING,650,2026-08-05
POLICYBZR,350,2026-08-05
POLYCAB,125,2026-08-05
POWERGRID,1900,2026-08-05
POWERINDIA,25,2026-08-05
PREMIERENE,650,2026-08-05
PRESTIGE,450,2026-08-05
RADICO,150,2026-08-05
RBLBANK,3175,2026-08-05
RECLTD,1575,2026-08-05
RELIANCE,500,2026-08-05
RVNL,1925,2026-08-05
SAIL,4700,2026-08-05
SBICARD,800,2026-08-05
SBILIFE,375,2026-08-05
SBIN,750,2026-08-05
SHREECEM,25,2026-08-05
SHRIRAMFIN,825,2026-08-05
SIEMENS,175,2026-08-05
SOLARINDS,50,2026-08-05
SONACOMS,1225,2026-08-05
SRF,200,2026-08-05
SUNPHARMA,350,2026-08-05
SUPREMEIND,175,2026-08-05
SUZLON,12700,2026-08-05
SWIGGY,1825,2026-08-05
TATACONSUM,550,2026-08-05
TATAELXSI,125,2026-08-05
TATAPOWER,1450,2026-08-05
TATASTEEL,2750,2026-08-05
TCS,225,2026-08-05
TECHM,600,2026-08-05
TIINDIA,200,2026-08-05
TITAN,175,2026-08-05
TMPV,1600,2026-08-05
TORNTPHARM,125,2026-08-05
TRENT,225,2026-08-05
TVSMOTOR,175,2026-08-05
ULTRACEMCO,50,2026-08-05
UNIONBANK,4425,2026-08-05
UNITDSPR,400,2026-08-05
UNOMINDA,550,2026-08-05
UPL,1355,2026-08-05
VBL,1275,2026-08-05
VEDL,1150,2026-08-05
VMM,4850,2026-08-05
VOLTAS,375,2026-08-05
WAAREEENER,175,2026-08-05
WIPRO,3000,2026-08-05
YESBANK,31100,2026-08-05
ZYDUSLIFE,900,2026-08-05
