Symbol,YdayVol,Avg10dVol,OpenVol,13:07
360ONE,13088,,1.084,1.084
ABB,40964,,1.036,1.036
ABCAPITAL,23515,,0.992,0.992
ADANIENSOL,38219,,1.003,1.003
ADANIENT,77775,,1.0,1.0
ADANIGREEN,66413,,1.016,1.016
ADANIPORTS,93201,,1.006,1.006
ADANIPOWER,65025,,1.024,1.024
ALKEM,17163,,1.011,1.011
AMBER,32079,,0.981,0.981
AMBUJACEM,85722,,1.053,1.053
ANGELONE,24236,,1.049,1.049
APLAPOLLO,28498,,0.994,0.994
APOLLOHOSP,30400,,1.014,1.014
ASHOKLEY,51058,,1.04,1.04
ASIANPAINT,69426,,1.004,1.004
ASTRAL,24051,,1.047,1.047
AUBANK,32231,,1.029,1.029
AUROPHARMA,29191,,1.061,1.061
AXISBANK,194330,,1.001,1.001
BAJAJ-AUTO,64277,,1.036,1.036
BAJAJFINSV,69379,,1.023,1.023
BAJAJHLDNG,6921,,0.986,0.986
BAJFINANCE,146936,,1.013,1.013
BANDHANBNK,64058,,0.995,0.995
BANKBARODA,74572,,1.015,1.015
BANKINDIA,31958,,0.993,0.993
BANKNIFTY,939197,,1.043,1.043
BDL,28592,,1.018,1.018
BEL,155573,,1.029,1.029
BHARATFORG,23809,,1.003,1.003
BHARTIARTL,156113,,1.138,1.138
BHEL,50539,,1.008,1.008
BIOCON,30888,,1.046,1.046
BLUESTARCO,13992,,1.08,1.08
BOSCHLTD,14396,,1.429,1.429
BPCL,29881,,0.998,0.998
BRITANNIA,25376,,1.028,1.028
BSE,99005,,1.467,1.467
CAMS,19516,,0.994,0.994
CANBK,80352,,1.001,1.001
CDSL,47496,,1.041,1.041
CGPOWER,44010,,1.01,1.01
CHOLAFIN,35454,,1.033,1.033
CIPLA,42378,,1.008,1.008
COALINDIA,97676,,1.02,1.02
COCHINSHIP,21966,,1.035,1.035
COFORGE,56981,,1.025,1.025
COLPAL,36794,,1.006,1.006
CONCOR,24931,,1.022,1.022
CROMPTON,37916,,1.001,1.001
CUMMINSIND,31112,,1.113,1.113
DABUR,52161,,1.017,1.017
DALBHARAT,14466,,1.009,1.009
DELHIVERY,25740,,1.011,1.011
DIVISLAB,76435,,1.005,1.005
DIXON,117796,,0.948,0.948
DLF,70108,,1.033,1.033
DMART,54483,,1.009,1.009
DRREDDY,51495,,1.002,1.002
EICHERMOT,77161,,1.0,1.0
ETERNAL,107137,,1.011,1.011
FEDERALBNK,50579,,1.008,1.008
FINNIFTY,7886,,1.09,1.09
FORCEMOT,20072,,1.012,1.012
FORTIS,23494,,1.03,1.03
GAIL,59169,,1.021,1.021
GLENMARK,41689,,1.042,1.042
GMRAIRPORT,29378,,1.018,1.018
GODFRYPHLP,16543,,1.012,1.012
GODREJCP,27561,,1.026,1.026
GODREJPROP,39530,,1.056,1.056
GRASIM,60498,,1.05,1.05
GVT&D,34467,,1.022,1.022
HAL,63378,,1.016,1.016
HAVELLS,26093,,1.024,1.024
HCLTECH,96533,,1.015,1.015
HDFCAMC,34212,,1.015,1.015
HDFCBANK,814060,,1.069,1.069
HDFCLIFE,89694,,0.97,0.97
HEROMOTOCO,54830,,1.042,1.042
HINDALCO,113471,,1.011,1.011
HINDPETRO,32258,,1.012,1.012
HINDUNILVR,119017,,1.01,1.01
HINDZINC,47096,,1.018,1.018
HYUNDAI,31031,,0.988,0.988
ICICIBANK,211956,,1.025,1.025
ICICIGI,22622,,1.169,1.169
ICICIPRULI,25418,,0.993,0.993
IDEA,110499,,0.998,0.998
IDFCFIRSTB,64115,,1.03,1.03
IEX,30141,,0.994,0.994
INDHOTEL,32595,,1.012,1.012
INDIANB,20728,,1.092,1.092
INDIGO,68734,,1.101,1.101
INDUSINDBK,69293,,1.015,1.015
INDUSTOWER,74609,,1.007,1.007
INFY,385754,,1.001,1.001
INOXWIND,26927,,1.008,1.008
IOC,46993,,1.016,1.016
IREDA,35505,,1.046,1.046
IRFC,40894,,1.035,1.035
ITC,202168,,1.014,1.014
JINDALSTEL,33506,,1.011,1.011
JIOFIN,145388,,1.016,1.016
JSWENERGY,33553,,1.003,1.003
JSWSTEEL,71206,,1.016,1.016
JUBLFOOD,24144,,1.088,1.088
KALYANKJIL,50253,,1.083,1.083
KAYNES,46317,,1.014,1.014
KEI,23080,,0.991,0.991
KFINTECH,15817,,0.993,0.993
KOTAKBANK,132083,,1.009,1.009
KPITTECH,48476,,1.0,1.0
LAURUSLABS,48106,,1.029,1.029
LICHSGFIN,53528,,1.054,1.054
LICI,98634,,0.919,0.919
LODHA,33320,,1.024,1.024
LT,133101,,0.979,0.979
LTF,34746,,0.998,0.998
LTM,28877,,1.016,1.016
LUPIN,26541,,1.033,1.033
M&M,123191,,1.012,1.012
MANAPPURAM,28075,,1.025,1.025
MANKIND,25613,,1.017,1.017
MARICO,25279,,1.275,1.275
MARUTI,110458,,1.041,1.041
MAXHEALTH,26399,,1.02,1.02
MAZDOCK,37551,,1.002,1.002
MCX,74036,,1.301,1.301
MFSL,29208,,0.983,0.983
MIDCPNIFTY,84465,,1.165,1.165
MOTHERSON,32931,,1.014,1.014
MOTILALOFS,15144,,0.995,0.995
MPHASIS,21295,,1.052,1.052
MUTHOOTFIN,59797,,0.97,0.97
NAM-INDIA,15038,,1.034,1.034
NATIONALUM,44213,,1.018,1.018
NAUKRI,32760,,1.042,1.042
NBCC,22980,,1.015,1.015
NESTLEIND,34370,,1.011,1.011
NHPC,26571,,1.077,1.077
NIFTY,5424640,,1.315,1.315
NIFTYNXT50,972,,1.007,1.007
NMDC,70150,,1.011,1.011
NTPC,118816,,1.008,1.008
NYKAA,20252,,1.385,1.385
OBEROIRLTY,21956,,1.014,1.014
OFSS,29048,,1.003,1.003
OIL,16093,,1.048,1.048
ONGC,59368,,1.102,1.102
PAGEIND,16249,,1.013,1.013
PATANJALI,48763,,1.018,1.018
PAYTM,65908,,1.017,1.017
PERSISTENT,53363,,0.99,0.99
PETRONET,25665,,1.004,1.004
PFC,64173,,1.034,1.034
PGEL,22108,,1.102,1.102
PHOENIXLTD,15763,,1.008,1.008
PIDILITIND,35894,,0.918,0.918
PIIND,22430,,1.044,1.044
PNB,53254,,1.02,1.02
PNBHOUSING,21864,,1.119,1.119
POLICYBZR,34913,,1.031,1.031
POLYCAB,36759,,1.037,1.037
POWERGRID,50232,,1.037,1.037
POWERINDIA,42748,,1.015,1.015
PREMIERENE,16199,,1.015,1.015
PRESTIGE,18501,,1.01,1.01
RADICO,11990,,1.097,1.097
RBLBANK,20479,,1.056,1.056
RECLTD,45671,,1.023,1.023
RELIANCE,434425,,1.044,1.044
RVNL,36186,,1.012,1.012
SAIL,50786,,1.008,1.008
SBICARD,42237,,1.005,1.005
SBILIFE,24184,,0.981,0.981
SBIN,210828,,1.012,1.012
SHREECEM,20088,,1.036,1.036
SHRIRAMFIN,59325,,1.027,1.027
SIEMENS,34540,,0.995,0.995
SOLARINDS,23848,,1.023,1.023
SONACOMS,15804,,1.122,1.122
SRF,44020,,1.025,1.025
SUNPHARMA,80667,,1.022,1.022
SUPREMEIND,21203,,1.037,1.037
SUZLON,66275,,1.006,1.006
SWIGGY,62771,,1.016,1.016
TATACONSUM,44929,,1.012,1.012
TATAELXSI,36713,,0.997,0.997
TATAPOWER,78044,,1.014,1.014
TATASTEEL,121449,,1.018,1.018
TCS,241802,,1.005,1.005
TECHM,45753,,0.998,0.998
TIINDIA,14404,,1.043,1.043
TITAN,63292,,1.016,1.016
TMPV,87330,,0.993,0.993
TORNTPHARM,41937,,1.028,1.028
TRENT,70596,,1.004,1.004
TVSMOTOR,85344,,1.059,1.059
ULTRACEMCO,54080,,1.046,1.046
UNIONBANK,40426,,1.031,1.031
UNITDSPR,29549,,1.008,1.008
UNOMINDA,14722,,1.164,1.164
UPL,46487,,1.034,1.034
VBL,71388,,1.013,1.013
VEDL,84602,,1.015,1.015
VMM,13948,,1.04,1.04
VOLTAS,27378,,1.056,1.056
WAAREEENER,73322,,0.999,0.999
WIPRO,113541,,1.003,1.003
YESBANK,57298,,1.013,1.013
ZYDUSLIFE,14794,,1.022,1.022
