Symbol,YdayVol,Avg10dVol,OpenVol,13:07
360ONE,13088,,14186,14186
ABB,40964,,42456,42456
ABCAPITAL,23515,,23330,23330
ADANIENSOL,38219,,38351,38351
ADANIENT,77775,,77784,77784
ADANIGREEN,66413,,67484,67484
ADANIPORTS,93201,,93734,93734
ADANIPOWER,65025,,66604,66604
ALKEM,17163,,17358,17358
AMBER,32079,,31468,31468
AMBUJACEM,85722,,90231,90231
ANGELONE,24236,,25412,25412
APLAPOLLO,28498,,28329,28329
APOLLOHOSP,30400,,30818,30818
ASHOKLEY,51058,,53086,53086
ASIANPAINT,69426,,69726,69726
ASTRAL,24051,,25185,25185
AUBANK,32231,,33166,33166
AUROPHARMA,29191,,30968,30968
AXISBANK,194330,,194544,194544
BAJAJ-AUTO,64277,,66621,66621
BAJAJFINSV,69379,,70950,70950
BAJAJHLDNG,6921,,6823,6823
BAJFINANCE,146936,,148881,148881
BANDHANBNK,64058,,63752,63752
BANKBARODA,74572,,75714,75714
BANKINDIA,31958,,31738,31738
BANKNIFTY,939197,,979468,979468
BDL,28592,,29111,29111
BEL,155573,,160154,160154
BHARATFORG,23809,,23889,23889
BHARTIARTL,156113,,177610,177610
BHEL,50539,,50922,50922
BIOCON,30888,,32314,32314
BLUESTARCO,13992,,15115,15115
BOSCHLTD,14396,,20575,20575
BPCL,29881,,29821,29821
BRITANNIA,25376,,26095,26095
BSE,99005,,145260,145260
CAMS,19516,,19401,19401
CANBK,80352,,80435,80435
CDSL,47496,,49427,49427
CGPOWER,44010,,44468,44468
CHOLAFIN,35454,,36612,36612
CIPLA,42378,,42697,42697
COALINDIA,97676,,99635,99635
COCHINSHIP,21966,,22736,22736
COFORGE,56981,,58434,58434
COLPAL,36794,,37003,37003
CONCOR,24931,,25477,25477
CROMPTON,37916,,37969,37969
CUMMINSIND,31112,,34635,34635
DABUR,52161,,53066,53066
DALBHARAT,14466,,14603,14603
DELHIVERY,25740,,26020,26020
DIVISLAB,76435,,76812,76812
DIXON,117796,,111612,111612
DLF,70108,,72427,72427
DMART,54483,,54952,54952
DRREDDY,51495,,51590,51590
EICHERMOT,77161,,77173,77173
ETERNAL,107137,,108291,108291
FEDERALBNK,50579,,50988,50988
FINNIFTY,7886,,8597,8597
FORCEMOT,20072,,20313,20313
FORTIS,23494,,24194,24194
GAIL,59169,,60404,60404
GLENMARK,41689,,43434,43434
GMRAIRPORT,29378,,29908,29908
GODFRYPHLP,16543,,16748,16748
GODREJCP,27561,,28275,28275
GODREJPROP,39530,,41733,41733
GRASIM,60498,,63531,63531
GVT&D,34467,,35217,35217
HAL,63378,,64361,64361
HAVELLS,26093,,26714,26714
HCLTECH,96533,,97969,97969
HDFCAMC,34212,,34718,34718
HDFCBANK,814060,,870618,870618
HDFCLIFE,89694,,86964,86964
HEROMOTOCO,54830,,57157,57157
HINDALCO,113471,,114719,114719
HINDPETRO,32258,,32649,32649
HINDUNILVR,119017,,120208,120208
HINDZINC,47096,,47921,47921
HYUNDAI,31031,,30657,30657
ICICIBANK,211956,,217250,217250
ICICIGI,22622,,26450,26450
ICICIPRULI,25418,,25241,25241
IDEA,110499,,110227,110227
IDFCFIRSTB,64115,,66018,66018
IEX,30141,,29975,29975
INDHOTEL,32595,,33002,33002
INDIANB,20728,,22629,22629
INDIGO,68734,,75653,75653
INDUSINDBK,69293,,70316,70316
INDUSTOWER,74609,,75120,75120
INFY,385754,,386057,386057
INOXWIND,26927,,27131,27131
IOC,46993,,47754,47754
IREDA,35505,,37142,37142
IRFC,40894,,42324,42324
ITC,202168,,205008,205008
JINDALSTEL,33506,,33890,33890
JIOFIN,145388,,147642,147642
JSWENERGY,33553,,33653,33653
JSWSTEEL,71206,,72371,72371
JUBLFOOD,24144,,26280,26280
KALYANKJIL,50253,,54408,54408
KAYNES,46317,,46961,46961
KEI,23080,,22867,22867
KFINTECH,15817,,15704,15704
KOTAKBANK,132083,,133287,133287
KPITTECH,48476,,48463,48463
LAURUSLABS,48106,,49493,49493
LICHSGFIN,53528,,56409,56409
LICI,98634,,90629,90629
LODHA,33320,,34130,34130
LT,133101,,130372,130372
LTF,34746,,34687,34687
LTM,28877,,29337,29337
LUPIN,26541,,27415,27415
M&M,123191,,124704,124704
MANAPPURAM,28075,,28763,28763
MANKIND,25613,,26058,26058
MARICO,25279,,32231,32231
MARUTI,110458,,115009,115009
MAXHEALTH,26399,,26932,26932
MAZDOCK,37551,,37616,37616
MCX,74036,,96302,96302
MFSL,29208,,28707,28707
MIDCPNIFTY,84465,,98399,98399
MOTHERSON,32931,,33383,33383
MOTILALOFS,15144,,15068,15068
MPHASIS,21295,,22397,22397
MUTHOOTFIN,59797,,58018,58018
NAM-INDIA,15038,,15548,15548
NATIONALUM,44213,,45016,45016
NAUKRI,32760,,34127,34127
NBCC,22980,,23315,23315
NESTLEIND,34370,,34746,34746
NHPC,26571,,28611,28611
NIFTY,5424640,,7131859,7131859
NIFTYNXT50,972,,979,979
NMDC,70150,,70951,70951
NTPC,118816,,119761,119761
NYKAA,20252,,28040,28040
OBEROIRLTY,21956,,22273,22273
OFSS,29048,,29148,29148
OIL,16093,,16861,16861
ONGC,59368,,65403,65403
PAGEIND,16249,,16465,16465
PATANJALI,48763,,49622,49622
PAYTM,65908,,67015,67015
PERSISTENT,53363,,52806,52806
PETRONET,25665,,25764,25764
PFC,64173,,66337,66337
PGEL,22108,,24370,24370
PHOENIXLTD,15763,,15890,15890
PIDILITIND,35894,,32957,32957
PIIND,22430,,23413,23413
PNB,53254,,54340,54340
PNBHOUSING,21864,,24472,24472
POLICYBZR,34913,,35983,35983
POLYCAB,36759,,38132,38132
POWERGRID,50232,,52076,52076
POWERINDIA,42748,,43379,43379
PREMIERENE,16199,,16436,16436
PRESTIGE,18501,,18684,18684
RADICO,11990,,13155,13155
RBLBANK,20479,,21619,21619
RECLTD,45671,,46710,46710
RELIANCE,434425,,453731,453731
RVNL,36186,,36632,36632
SAIL,50786,,51196,51196
SBICARD,42237,,42468,42468
SBILIFE,24184,,23726,23726
SBIN,210828,,213428,213428
SHREECEM,20088,,20807,20807
SHRIRAMFIN,59325,,60942,60942
SIEMENS,34540,,34353,34353
SOLARINDS,23848,,24403,24403
SONACOMS,15804,,17725,17725
SRF,44020,,45135,45135
SUNPHARMA,80667,,82414,82414
SUPREMEIND,21203,,21979,21979
SUZLON,66275,,66666,66666
SWIGGY,62771,,63760,63760
TATACONSUM,44929,,45448,45448
TATAELXSI,36713,,36614,36614
TATAPOWER,78044,,79136,79136
TATASTEEL,121449,,123579,123579
TCS,241802,,242977,242977
TECHM,45753,,45681,45681
TIINDIA,14404,,15018,15018
TITAN,63292,,64297,64297
TMPV,87330,,86734,86734
TORNTPHARM,41937,,43103,43103
TRENT,70596,,70882,70882
TVSMOTOR,85344,,90352,90352
ULTRACEMCO,54080,,56573,56573
UNIONBANK,40426,,41676,41676
UNITDSPR,29549,,29776,29776
UNOMINDA,14722,,17134,17134
UPL,46487,,48070,48070
VBL,71388,,72335,72335
VEDL,84602,,85862,85862
VMM,13948,,14504,14504
VOLTAS,27378,,28914,28914
WAAREEENER,73322,,73246,73246
WIPRO,113541,,113874,113874
YESBANK,57298,,58068,58068
ZYDUSLIFE,14794,,15121,15121
