Symbol,YdayVol,Avg10dVol,OpenVol,13:07
360ONE,366010,953239,3.81,3.81
ABB,718380,462101,0.23,0.23
ABCAPITAL,3928195,4983522,0.39,0.39
ADANIENSOL,845598,2128875,0.65,0.65
ADANIENT,854172,1100870,0.69,0.69
ADANIGREEN,3037528,2986376,0.24,0.24
ADANIPORTS,1099071,2770968,0.88,0.88
ADANIPOWER,11392298,21236912,0.89,0.89
ALKEM,122664,101291,0.44,0.44
AMBER,248625,202286,0.64,0.64
AMBUJACEM,3648798,2635762,1.35,1.35
ANGELONE,5039236,6036795,0.48,0.48
APLAPOLLO,627555,817622,0.52,0.52
APOLLOHOSP,259286,200533,0.72,0.72
ASHOKLEY,15240052,19360800,1.4,1.4
ASIANPAINT,820097,1269807,0.32,0.32
ASTRAL,245864,504112,1.11,1.11
AUBANK,1367532,1961062,0.43,0.43
AUROPHARMA,2243122,1053078,0.37,0.37
AXISBANK,5694891,7363438,0.41,0.41
BAJAJ-AUTO,281232,562591,0.69,0.69
BAJAJFINSV,1959197,1610607,0.93,0.93
BAJAJHLDNG,46101,65350,0.53,0.53
BAJFINANCE,9437990,12585021,0.32,0.32
BANDHANBNK,8403143,30462375,0.47,0.47
BANKBARODA,4143561,8587357,1.19,1.19
BANKINDIA,8509334,9836623,0.55,0.55
BDL,422213,559479,0.75,0.75
BEL,10632551,15407999,0.56,0.56
BHARATFORG,596791,690377,0.93,0.93
BHARTIARTL,4977391,5576499,1.86,1.86
BHEL,4709584,7766878,0.74,0.74
BIOCON,2478487,3578341,0.58,0.58
BLUESTARCO,866482,278082,0.23,0.23
BOSCHLTD,14910,24053,5.79,5.79
BPCL,5331584,6644420,0.32,0.32
BRITANNIA,201410,263146,1.03,1.03
BSE,2817947,2267838,1.74,1.74
CAMS,4699513,1393140,0.22,0.22
CANBK,21657270,22810796,0.63,0.63
CDSL,1929942,1262348,0.35,0.35
CGPOWER,8524215,5711855,0.16,0.16
CHOLAFIN,1345656,2011034,0.37,0.37
CIPLA,947279,1767995,0.48,0.48
COALINDIA,4057342,8506327,0.68,0.68
COCHINSHIP,758781,887111,0.39,0.39
COFORGE,1189895,4572139,1.33,1.33
COLPAL,515125,485341,0.31,0.31
CONCOR,1523968,3089478,0.72,0.72
CROMPTON,1873396,3061223,0.56,0.56
CUMMINSIND,146209,322831,1.34,1.34
DABUR,6370534,2797412,0.26,0.26
DALBHARAT,226772,294296,0.29,0.29
DELHIVERY,3336754,3570286,0.46,0.46
DIVISLAB,1798150,648310,0.11,0.11
DIXON,300730,380765,1.07,1.07
DLF,7016514,3324568,0.54,0.54
DMART,448874,736156,0.49,0.49
DRREDDY,2165315,2521667,0.4,0.4
EICHERMOT,599769,641695,0.45,0.45
ETERNAL,16096034,44809751,0.44,0.44
FEDERALBNK,5569382,5065529,0.4,0.4
FORCEMOT,75092,116907,0.88,0.88
FORTIS,1509985,965091,0.59,0.59
GAIL,18131149,15598896,0.41,0.41
GLENMARK,444946,619190,0.48,0.48
GMRAIRPORT,6839743,11454441,0.75,0.75
GODFRYPHLP,2227258,1061015,0.16,0.16
GODREJCP,615866,489497,1.18,1.18
GODREJPROP,1202012,766595,1.3,1.3
GRASIM,770936,379977,0.55,0.55
GVT&D,758352,1146121,0.47,0.47
HAL,686746,647427,0.53,0.53
HAVELLS,1214090,1019776,0.58,0.58
HCLTECH,3013543,3247154,0.63,0.63
HDFCAMC,1035685,665699,0.27,0.27
HDFCBANK,31559802,27153536,1.05,1.05
HDFCLIFE,9286204,3743432,0.69,0.69
HEROMOTOCO,1013842,881133,0.43,0.43
HINDALCO,7690755,4522963,0.37,0.37
HINDPETRO,4974075,7228215,0.81,0.81
HINDUNILVR,1657094,2584411,0.34,0.34
HINDZINC,5784368,3500335,0.91,0.91
HYUNDAI,760246,1181082,0.29,0.29
ICICIBANK,11458963,11463537,0.53,0.53
ICICIGI,427517,861055,4.96,4.96
ICICIPRULI,5351839,1846440,0.09,0.09
IDEA,308781891,306616103,0.43,0.43
IDFCFIRSTB,12931033,34857462,0.66,0.66
IEX,4937910,8852547,0.3,0.3
INDHOTEL,1481783,2121268,0.9,0.9
INDIANB,885832,1243576,1.14,1.14
INDIGO,618644,1117774,1.08,1.08
INDUSINDBK,887652,2959724,0.69,0.69
INDUSTOWER,3918825,4075977,0.43,0.43
INFY,9243589,18362944,0.48,0.48
INOXWIND,8427344,11816964,0.54,0.54
IOC,7539898,9438050,0.82,0.82
IREDA,16002448,5357998,0.32,0.32
IRFC,6727736,8682154,0.75,0.75
ITC,12689243,20547946,0.49,0.49
JINDALSTEL,822310,1131360,0.35,0.35
JIOFIN,24776731,22412814,0.6,0.6
JSWENERGY,1555497,1891469,0.6,0.6
JSWSTEEL,1475041,1833380,0.71,0.71
JUBLFOOD,2099849,2101414,2.96,2.96
KALYANKJIL,28511014,25842181,0.55,0.55
KAYNES,916015,1660392,1.13,1.13
KEI,3728753,595756,0.17,0.17
KFINTECH,790186,2007797,0.36,0.36
KOTAKBANK,9131231,11746497,0.77,0.77
KPITTECH,2143138,8385014,0.41,0.41
LAURUSLABS,1405192,2855659,0.93,0.93
LICHSGFIN,2191300,1278949,0.31,0.31
LICI,52718651,6518022,0.54,0.54
LODHA,912671,3869799,1.18,1.18
LT,1827982,1831529,0.69,0.69
LTF,5387646,5658991,0.62,0.62
LTM,316156,561347,0.3,0.3
LUPIN,1169093,1052332,0.69,0.69
M&M,2450782,3039622,0.48,0.48
MANAPPURAM,8392284,6544399,0.9,0.9
MANKIND,346444,546529,0.15,0.15
MARICO,2333652,2080825,1.17,1.17
MARUTI,619717,492322,0.3,0.3
MAXHEALTH,1492388,1432278,0.43,0.43
MAZDOCK,459020,642383,0.73,0.73
MCX,1513020,1277518,2.61,2.61
MFSL,500008,690660,0.67,0.67
MOTHERSON,26900441,16075692,0.42,0.42
MOTILALOFS,797586,2215382,0.4,0.4
MPHASIS,423329,821178,1.64,1.64
MUTHOOTFIN,1372471,1584256,0.66,0.66
NAM-INDIA,1990516,1117866,0.78,0.78
NATIONALUM,15775994,6607494,0.38,0.38
NAUKRI,937278,2011308,0.9,0.9
NBCC,4304105,5801581,0.67,0.67
NESTLEIND,4023569,3408754,0.5,0.5
NHPC,13752798,13363461,1.37,1.37
NMDC,19524046,15525010,0.6,0.6
NTPC,7201524,8455573,1.38,1.38
NYKAA,5155389,5252357,4.71,4.71
OBEROIRLTY,307429,247197,0.72,0.72
OFSS,257150,646771,0.68,0.68
OIL,603531,2649033,3.03,3.03
ONGC,10470809,11031121,1.15,1.15
PAGEIND,8626,23676,0.5,0.5
PATANJALI,5089623,6214674,0.27,0.27
PAYTM,6114443,3803338,0.19,0.19
PERSISTENT,464955,826183,0.5,0.5
PETRONET,1506784,1985187,0.29,0.29
PFC,8639728,6018220,0.39,0.39
PGEL,1299002,1621545,1.85,1.85
PHOENIXLTD,380365,780933,0.46,0.46
PIDILITIND,2924363,1385793,0.43,0.43
PIIND,276209,202360,0.49,0.49
PNB,7961139,12173239,0.96,0.96
PNBHOUSING,1412986,846710,2.87,2.87
POLICYBZR,643991,790503,0.5,0.5
