Symbol,YdayVol,Avg10dVol,OpenVol,13:07
360ONE,366010,953239,1393468,1393468
ABB,718380,462101,163711,163711
ABCAPITAL,3928195,4983522,1522786,1522786
ADANIENSOL,845598,2128875,549997,549997
ADANIENT,854172,1100870,589895,589895
ADANIGREEN,3037528,2986376,736364,736364
ADANIPORTS,1099071,2770968,968043,968043
ADANIPOWER,11392298,21236912,10160791,10160791
ALKEM,122664,101291,53653,53653
AMBER,248625,202286,158327,158327
AMBUJACEM,3648798,2635762,4922028,4922028
ANGELONE,5039236,6036795,2403538,2403538
APLAPOLLO,627555,817622,325723,325723
APOLLOHOSP,259286,200533,187381,187381
ASHOKLEY,15240052,19360800,21359064,21359064
ASIANPAINT,820097,1269807,265696,265696
ASTRAL,245864,504112,272465,272465
AUBANK,1367532,1961062,584839,584839
AUROPHARMA,2243122,1053078,822436,822436
AXISBANK,5694891,7363438,2306438,2306438
BAJAJ-AUTO,281232,562591,194859,194859
BAJAJFINSV,1959197,1610607,1829434,1829434
BAJAJHLDNG,46101,65350,24519,24519
BAJFINANCE,9437990,12585021,2994140,2994140
BANDHANBNK,8403143,30462375,3945604,3945604
BANKBARODA,4143561,8587357,4914716,4914716
BANKINDIA,8509334,9836623,4675111,4675111
BDL,422213,559479,315208,315208
BEL,10632551,15407999,5926286,5926286
BHARATFORG,596791,690377,554541,554541
BHARTIARTL,4977391,5576499,9249813,9249813
BHEL,4709584,7766878,3473330,3473330
BIOCON,2478487,3578341,1442295,1442295
BLUESTARCO,866482,278082,200832,200832
BOSCHLTD,14910,24053,86258,86258
BPCL,5331584,6644420,1695525,1695525
BRITANNIA,201410,263146,206450,206450
BSE,2817947,2267838,4892217,4892217
CAMS,4699513,1393140,1035688,1035688
CANBK,21657270,22810796,13635354,13635354
CDSL,1929942,1262348,677137,677137
CGPOWER,8524215,5711855,1404755,1404755
CHOLAFIN,1345656,2011034,495016,495016
CIPLA,947279,1767995,450777,450777
COALINDIA,4057342,8506327,2773234,2773234
COCHINSHIP,758781,887111,297718,297718
COFORGE,1189895,4572139,1583729,1583729
COLPAL,515125,485341,158816,158816
CONCOR,1523968,3089478,1096126,1096126
CROMPTON,1873396,3061223,1056509,1056509
CUMMINSIND,146209,322831,195700,195700
DABUR,6370534,2797412,1646549,1646549
DALBHARAT,226772,294296,64746,64746
DELHIVERY,3336754,3570286,1544796,1544796
DIVISLAB,1798150,648310,200386,200386
DIXON,300730,380765,321967,321967
DLF,7016514,3324568,3764591,3764591
DMART,448874,736156,218307,218307
DRREDDY,2165315,2521667,873611,873611
EICHERMOT,599769,641695,267828,267828
ETERNAL,16096034,44809751,7062384,7062384
FEDERALBNK,5569382,5065529,2236124,2236124
FORCEMOT,75092,116907,66443,66443
FORTIS,1509985,965091,895398,895398
GAIL,18131149,15598896,7500973,7500973
GLENMARK,444946,619190,211579,211579
GMRAIRPORT,6839743,11454441,5107102,5107102
GODFRYPHLP,2227258,1061015,348408,348408
GODREJCP,615866,489497,727600,727600
GODREJPROP,1202012,766595,1556996,1556996
GRASIM,770936,379977,421142,421142
GVT&D,758352,1146121,358975,358975
HAL,686746,647427,364378,364378
HAVELLS,1214090,1019776,702797,702797
HCLTECH,3013543,3247154,1897690,1897690
HDFCAMC,1035685,665699,281574,281574
HDFCBANK,31559802,27153536,33029469,33029469
HDFCLIFE,9286204,3743432,6450810,6450810
HEROMOTOCO,1013842,881133,430977,430977
